nume_judet	salariu_mediu_net	populatie	nr_someri_per_capita	nume_localitate	nume_localitate_search	tip_localitate	teritoriu
alba	2846	376589	71.7449037912	dambureni	dambureni$	sat	rural
alba	2846	376589	71.7449037912	darlesti	darlesti$	sat	rural
alba	2846	376589	71.7449037912	daroaia	daroaia$	sat	rural
alba	2846	376589	71.7449037912	deal	deal$	sat	rural
alba	2846	376589	71.7449037912	dealu bajului	dealu bajului$	sat	rural
alba	2846	376589	71.7449037912	dealu caselor	dealu caselor$	sat	rural
alba	2846	376589	71.7449037912	dealu crisului	dealu crisului$	sat	rural
alba	2846	376589	71.7449037912	dealu dostatului	dealu dostatului$	sat	rural
alba	2846	376589	71.7449037912	dealu ferului	dealu ferului$	sat	rural
alba	2846	376589	71.7449037912	dealu frumos	dealu frumos$	sat	rural
alba	2846	376589	71.7449037912	dealu geoagiului	dealu geoagiului$	sat	rural
alba	2846	376589	71.7449037912	dealu goiesti	dealu goiesti$	sat	rural
alba	2846	376589	71.7449037912	dealu lamasoi	dealu lamasoi$	sat	rural
alba	2846	376589	71.7449037912	dealu muntelui	dealu muntelui$	sat	rural
alba	2846	376589	71.7449037912	dealu ordancusii	dealu ordancusii$	sat	rural
alba	2846	376589	71.7449037912	dealu roatei	dealu roatei$	sat	rural
alba	2846	376589	71.7449037912	decea	decea$	sat	rural
alba	2846	376589	71.7449037912	deoncesti	deoncesti$	sat	rural
alba	2846	376589	71.7449037912	deve	deve$	sat	rural
alba	2846	376589	71.7449037912	dilimani	dilimani$	sat	rural
alba	2846	376589	71.7449037912	dobra	dobra$	sat	rural
alba	2846	376589	71.7449037912	dobresti	dobresti$	sat	rural
alba	2846	376589	71.7449037912	dobrot	dobrot$	sat	rural
alba	2846	376589	71.7449037912	dogaresti	dogaresti$	sat	rural
alba	2846	376589	71.7449037912	dolesti	dolesti$	sat	rural
alba	2846	376589	71.7449037912	doptau	doptau$	sat	rural
alba	2846	376589	71.7449037912	dos	dos$	sat	rural
alba	2846	376589	71.7449037912	dostat	dostat$	sat	rural
alba	2846	376589	71.7449037912	dosu luncii	dosu luncii$	sat	rural
alba	2846	376589	71.7449037912	dosu vasesti	dosu vasesti$	sat	rural
alba	2846	376589	71.7449037912	dragoiesti-lunca	dragoiesti-lunca$	sat	rural
alba	2846	376589	71.7449037912	drambar	drambar$	sat	rural
alba	2846	376589	71.7449037912	drasov	drasov$	sat	rural
alba	2846	376589	71.7449037912	duduieni	duduieni$	sat	rural
alba	2846	376589	71.7449037912	dumacesti	dumacesti$	sat	rural
alba	2846	376589	71.7449037912	dumbrava	dumbrava$	sat	rural
alba	2846	376589	71.7449037912	dumbravita	dumbravita$	sat	rural
alba	2846	376589	71.7449037912	dumesti	dumesti$	sat	rural
alba	2846	376589	71.7449037912	dumitra	dumitra$	sat	rural
alba	2846	376589	71.7449037912	dupa deal	dupa deal$	sat	rural
alba	2846	376589	71.7449037912	dupa plese	dupa plese$	sat	rural
alba	2846	376589	71.7449037912	durasti	durasti$	sat	rural
alba	2846	376589	71.7449037912	faget	faget$	sat	rural
alba	2846	376589	71.7449037912	fagetu de jos	fagetu de jos$	sat	rural
alba	2846	376589	71.7449037912	fagetu de sus	fagetu de sus$	sat	rural
alba	2846	376589	71.7449037912	fantanele	fantanele$	sat	rural
alba	2846	376589	71.7449037912	farau	farau$	sat	rural
alba	2846	376589	71.7449037912	fata	fata$	sat	rural
alba	2846	376589	71.7449037912	fata cristesei	fata cristesei$	sat	rural
alba	2846	376589	71.7449037912	fata lapusului	fata lapusului$	sat	rural
alba	2846	376589	71.7449037912	fata pietrii	fata pietrii$	sat	rural
alba	2846	376589	71.7449037912	fata-lazesti	fata-lazesti$	sat	rural
alba	2846	376589	71.7449037912	feisa	feisa$	sat	rural
alba	2846	376589	71.7449037912	fenes	fenes$	sat	rural
alba	2846	376589	71.7449037912	feresti	feresti$	sat	rural
alba	2846	376589	71.7449037912	fericet	fericet$	sat	rural
alba	2846	376589	71.7449037912	ficaresti	ficaresti$	sat	rural
alba	2846	376589	71.7449037912	floresti	floresti$	sat	rural
alba	2846	376589	71.7449037912	furduiesti	furduiesti$	sat	rural
alba	2846	376589	71.7449037912	gabud	gabud$	sat	rural
alba	2846	376589	71.7449037912	galati	galati$	sat	rural
alba	2846	376589	71.7449037912	galbena	galbena$	sat	rural
alba	2846	376589	71.7449037912	galda de jos	galda de jos$	sat	rural
alba	2846	376589	71.7449037912	galda de sus	galda de sus$	sat	rural
alba	2846	376589	71.7449037912	galtiu	galtiu$	sat	rural
alba	2846	376589	71.7449037912	ganesti	ganesti$	sat	rural
alba	2846	376589	71.7449037912	garbova	garbova$	sat	rural
alba	2846	376589	71.7449037912	garbova de jos	garbova de jos$	sat	rural
alba	2846	376589	71.7449037912	garbova de sus	garbova de sus$	sat	rural
alba	2846	376589	71.7449037912	garbovita	garbovita$	sat	rural
alba	2846	376589	71.7449037912	garda de sus	garda de sus$	sat	rural
alba	2846	376589	71.7449037912	garda seaca	garda seaca$	sat	rural
alba	2846	376589	71.7449037912	garda-barbulesti	garda-barbulesti$	sat	rural
alba	2846	376589	71.7449037912	garde	garde$	sat	rural
alba	2846	376589	71.7449037912	geamana	geamana$	sat	rural
alba	2846	376589	71.7449037912	geoagiu de sus	geoagiu de sus$	sat	rural
alba	2846	376589	71.7449037912	geogel	geogel$	sat	rural
alba	2846	376589	71.7449037912	geomal	geomal$	sat	rural
alba	2846	376589	71.7449037912	ghedulesti	ghedulesti$	sat	rural
alba	2846	376589	71.7449037912	ghetari	ghetari$	sat	rural
alba	2846	376589	71.7449037912	ghioncani	ghioncani$	sat	rural
alba	2846	376589	71.7449037912	ghirbom	ghirbom$	sat	rural
alba	2846	376589	71.7449037912	giurgiut	giurgiut$	sat	rural
alba	2846	376589	71.7449037912	gligoresti	gligoresti$	sat	rural
